Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;Pr
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;250;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;250;TRUE;0.2;1;1;0.25;0.25;0.25
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;250;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;250;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;250;TRUE;0.2;2;1;0.5;0.103571428571429;0.5
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;250;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;250;TRUE;0.2;2;1;0.25;0.0321428571428571;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;300;TRUE;0.2;1;1;0.25;0.075;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;300;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;300;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;300;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;300;TRUE;0.2;1;1;0.25;0.2375;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;300;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;300;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;300;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma;h1=Normal, Co=Normal;150;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;150;TRUE;0.2;1;1;0.5;0.108333333333333;0.5
Main = TRUE;Ma;h1=Normal, Co=Normal;150;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;150;TRUE;0.2;2;1;0.5;0.0723214285714286;0.5
Main = TRUE;Ma;h1=Binary, Co=Binary;150;TRUE;0.2;1;1;0.25;0.0666666666666667;0.25
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;150;TRUE;0.2;1;1;0.5;0.0416666666666667;0.5
Main = TRUE;Ma;h1=Binary, Co=Binary;150;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;150;TRUE;0.2;2;1;0.5;0.183035714285714;0.5
Main = TRUE;Ma;h1=Normal, Co=Binary;150;TRUE;0.2;1;1;0.5;0.316666666666667;0.5
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;150;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma;h1=Normal, Co=Binary;150;TRUE;0.2;2;1;0.25;0.00714285714285714;0.25
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;150;TRUE;0.2;2;1;0.75;0.126785714285714;0.75
Main = TRUE;Ma;h1=Binary, Co=Normal;150;TRUE;0.2;1;1;0.75;0.25;0.75
